"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-0.0197974979089,0.0397725403590737,-0.497768000991755,0.618649399601354
"LabCountSum",0.0111879939076749,0.00168851524578301,6.62593597281188,3.47966486625783e-11
"LabCountMonthSum",-0.0560599690321831,0.0105522809042223,-5.31259256088907,1.08461473989173e-07
"DrugCountSum",0.00232408575058786,0.00108416882195992,2.14365669212519,0.0320644186245028
"DrugCountMonthSum",0.00152239608773169,0.00319584546492705,0.476367241294765,0.633814506046907
"noProvider",-0.0291850500858258,0.00726024473191286,-4.01984384321662,5.83079193248792e-05
"noVendor",0.0271429941625031,0.00805276095377714,3.37064446818973,0.000750399139145064
"noPCP",-0.019494053810267,0.0355218370664197,-0.54879069947358,0.583151139051961
"spSurgery",-0.0742501410678945,0.0658415536265236,-1.12770943239079,0.259447169695758
"spInternal",-0.0891890668697511,0.0657202410417906,-1.35710194387505,0.174753934270014
"spLab",-0.127485033534882,0.0729150939173324,-1.74840388574989,0.0803992379592314
"spPed",-0.0815190451897647,0.0658951084654993,-1.23710313387595,0.216053646105875
"spRehab",-0.0930078180424927,0.0658527638122829,-1.41236012975274,0.157849144794327
"spImag",-0.0201628258097974,0.0665761672038166,-0.302853508344372,0.762002554951523
"spAnes",-0.0670108075155518,0.067303617754201,-0.995649413086253,0.319424538924791
"spEmergency",-0.0427375932179016,0.0661184602669484,-0.646379135953131,0.518036325383442
"spGeneral",-0.0967680226646053,0.0656865906870295,-1.47317773159619,0.140708372328542
"spOther",-0.0663743380397698,0.0657384281457283,-1.00967333585512,0.312655899679046
"spObs",-0.0763356850077244,0.0667311612943385,-1.14392861636293,0.252657813362193
"spPathology",-0.195704168706669,0.0720627389150631,-2.71574702340048,0.00661453845551141
"spNA",-0.105971618465171,0.068759380844422,-1.54119506551328,0.123274600356221
"placeOffice",0.0611198574873639,0.0375237857763618,1.62882972021087,0.103354329733162
"placeLab",0.119202157469963,0.0497770948625844,2.39471905299084,0.0166361578535797
"placeOut",0.0784698906098735,0.0378537184996192,2.07297707385505,0.0381786785910676
"placeIn",0.113143633900464,0.0379680855608408,2.97996678603034,0.00288395290380073
"placeUrgent",0.0870087874051826,0.0378822995188216,2.29681905561073,0.0216325271137744
"placeAmbulance",0.0426069673984056,0.0410527883126786,1.0378580639612,0.299340329069494
"placeHome",0.203685250890999,0.0496032411019237,4.10628915301061,4.02598925753144e-05
"placeOther",0.122906778013362,0.0411737611201351,2.98507531665009,0.00283622958207732
"PayDelaySum",1.86453828055565e-06,2.62140330601178e-05,0.0711274864222391,0.943296530012645
"LengthOfStaySum",-0.0100865377468475,0.00230452242147068,-4.37684513410398,1.20612912439444e-05
"pcgNEUMENT",-0.0154843970364775,0.0333563252434398,-0.464211717671833,0.64249775381428
"pcgMETAB3",-0.0354059878004152,0.0331674131838042,-1.06749319291817,0.285753487896076
"pcgFXDISLC",-0.0446290206170207,0.0335640769782665,-1.32966625734767,0.183633320286283
"pcgTRAUMA",-0.0355111892237726,0.0335548748142952,-1.05830194331835,0.289922074807998
"pcgRESPR4",-0.0265470069191711,0.0332875929752542,-0.797504551888327,0.425161221465618
"pcgINFEC4",-0.0440909630127434,0.0334546478596788,-1.31793236018138,0.18753133167129
"pcgMISCHRT",-0.0258025669597804,0.0333816231460276,-0.772957229997694,0.439550743025899
"pcgARTHSPIN",-0.0148005278378236,0.0331877220616163,-0.445963956500087,0.655624893917719
